"","Date","Opponent","Won","Away"
"1",2015-11-13,"Morgan State",TRUE,FALSE
"2",2015-11-16,"George Washington",FALSE,TRUE
"3",2015-11-19,"Bradley",TRUE,FALSE
"4",2015-11-20,"Long Beach State",TRUE,FALSE
"5",2015-11-22,"George Mason",TRUE,FALSE
"6",2015-11-25,"Lehigh",TRUE,FALSE
"7",2015-12-01,"Ohio State",TRUE,TRUE
"8",2015-12-05,"William & Mary",TRUE,FALSE
"9",2015-12-08,"West Virginia",TRUE,FALSE
"10",2015-12-19,"Villanova",TRUE,FALSE
"11",2015-12-22,"California",TRUE,FALSE
"12",2015-12-30,"Oakland",TRUE,FALSE
"13",2016-01-02,"Notre Dame",TRUE,FALSE
"14",2016-01-04,"Virginia Tech",FALSE,TRUE
"15",2016-01-09,"Georgia Tech",FALSE,TRUE
"16",2016-01-12,"Miami (FL)",TRUE,FALSE
"17",2016-01-17,"Florida State",FALSE,TRUE
"18",2016-01-19,"Clemson",TRUE,FALSE
"19",2016-01-24,"Syracuse",TRUE,FALSE
"20",2016-01-26,"Wake Forest",TRUE,TRUE
"21",2016-01-30,"Louisville",TRUE,TRUE
"22",2016-02-03,"Boston College",TRUE,FALSE
"23",2016-02-06,"Pitt",TRUE,TRUE
"24",2016-02-09,"Virginia Tech",TRUE,FALSE
"25",2016-02-13,"Duke",FALSE,TRUE
"26",2016-02-15,"NC State",TRUE,FALSE
"27",2016-02-22,"Miami (FL)",FALSE,TRUE
"28",2016-02-27,"UNC",TRUE,FALSE
"29",2016-03-01,"Clemson",TRUE,TRUE
"30",2016-03-05,"Louisville",TRUE,FALSE
"31",2016-03-10,"Georgia Tech",TRUE,FALSE
"32",2016-03-11,"Miami (FL)",TRUE,FALSE
"33",2016-03-12,"UNC",FALSE,FALSE
"34",2016-03-17,"Hampton",TRUE,FALSE
"35",2016-03-19,"Butler",TRUE,FALSE
"36",2016-03-25,"Iowa State",TRUE,FALSE
"37",2016-03-27,"Syracuse",FALSE,FALSE
"38",2016-11-11,"UNC Greensboro",TRUE,TRUE
