"","Date","Opponent","Won","Away"
"1",NA,"BYU*",FALSE,FALSE
"2",NA,"Richmond*",TRUE,FALSE
"3",NA,"No. 11 Clemson",FALSE,FALSE
"4",NA,"Maryland",TRUE,FALSE
"5",NA,"North Carolina",TRUE,FALSE
"6",NA,"Richmond*",TRUE,FALSE
"7",NA,"Duke",TRUE,FALSE
"8",NA,"No. 21 Florida State",FALSE,FALSE
"9",NA,"Wake Forest",FALSE,FALSE
"10",NA,"No. 20 Georgia Tech",TRUE,FALSE
"11",NA,"Penn State*",TRUE,FALSE
"12",NA,"Colorado State*",FALSE,FALSE
"13",NA,"No. 22 South Carolina*",TRUE,FALSE
"14",NA,"Akron*",TRUE,FALSE
"15",NA,"Clemson",TRUE,FALSE
"16",NA,"North Carolina",TRUE,FALSE
"17",NA,"No. 22 NC State",TRUE,FALSE
"18",NA,"No. 18 Maryland",TRUE,FALSE
"19",NA,"Duke",TRUE,FALSE
"20",NA,"Wake Forest",TRUE,FALSE
"21",NA,"No. 8 Florida State",FALSE,FALSE
"22",NA,"Troy State*",TRUE,FALSE
"23",NA,"Georgia Tech",TRUE,FALSE
"24",NA,"North Carolina",TRUE,FALSE
"25",NA,"Akron*",TRUE,FALSE
"26",NA,"Syracuse*",TRUE,FALSE
"27",NA,"Clemson",TRUE,FALSE
"28",NA,"Maryland",TRUE,FALSE
"29",NA,"No. 18 Miami",FALSE,FALSE
"30",NA,"Western Michigan*",TRUE,FALSE
"31",NA,"Duke",TRUE,FALSE
"32",NA,"No. 5 Florida State",TRUE,FALSE
"33",NA,"Temple*",TRUE,FALSE
"34",NA,"No. 24 Georgia Tech",TRUE,FALSE
"35",NA,"Wyoming*",TRUE,FALSE
"36",NA,"Western Michigan*",FALSE,FALSE
"37",NA,"Maryland",FALSE,FALSE
"38",NA,"North Carolina",TRUE,FALSE
"39",NA,"NC State",TRUE,FALSE
"40",NA,"Miami",TRUE,FALSE
"41",NA,"Duke",TRUE,FALSE
"42",NA,"Georgia Tech",TRUE,FALSE
"43",NA,"Pittsburgh*",TRUE,FALSE
"44",NA,"Connecticut*",TRUE,FALSE
"45",NA,"No. 21 Wake Forest",TRUE,FALSE
"46",NA,"No. 2 USC*",FALSE,FALSE
"47",NA,"Richmond*",TRUE,FALSE
"48",NA,"Maryland",TRUE,FALSE
"49",NA,"East Carolina*",TRUE,FALSE
"50",NA,"No. 18 North Carolina",TRUE,FALSE
"51",NA,"Miami",FALSE,FALSE
"52",NA,"Clemson",FALSE,FALSE
"53",NA,"No. 14 (FCS) William & Mary*",FALSE,FALSE
"54",NA,"No. 16 TCU*",FALSE,FALSE
"55",NA,"Indiana*",TRUE,FALSE
"56",NA,"No. 13 Georgia Tech",FALSE,FALSE
"57",NA,"Duke",FALSE,FALSE
"58",NA,"Boston College",FALSE,FALSE
"59",NA,"Richmond*",TRUE,FALSE
"60",NA,"VMI*",TRUE,FALSE
"61",NA,"North Carolina",FALSE,FALSE
"62",NA,"Eastern Michigan*",TRUE,FALSE
"63",NA,"No. 22 Miami (FL)",TRUE,FALSE
"64",NA,"Maryland",FALSE,FALSE
"65",NA,"No. 3 (FCS) William & Mary*",TRUE,FALSE
"66",NA,"Southern Miss*",FALSE,FALSE
"67",NA,"Idaho*",TRUE,FALSE
"68",NA,"No. 12 Georgia Tech",TRUE,FALSE
"69",NA,"NC State",FALSE,FALSE
"70",NA,"Duke",TRUE,FALSE
"71",NA,"Richmond*",TRUE,FALSE
"72",NA,"Penn State*",TRUE,FALSE
"73",NA,"Louisiana Tech*",FALSE,FALSE
"74",NA,"Maryland",FALSE,FALSE
"75",NA,"Wake Forest",FALSE,FALSE
"76",NA,"Miami",TRUE,FALSE
"77",NA,"BYU*",TRUE,FALSE
"78",NA,"No. 2 Oregon*",FALSE,FALSE
"79",NA,"VMI*",TRUE,FALSE
"80",NA,"Ball State*",FALSE,FALSE
"81",NA,"Duke",FALSE,FALSE
"82",NA,"Georgia Tech",FALSE,FALSE
"83",NA,"No. 9 Clemson",FALSE,FALSE
"84",NA,"No. 7 UCLA*",FALSE,FALSE
"85",NA,"No. 17 (FCS) Richmond*",TRUE,FALSE
"86",NA,"No. 21 Louisville",TRUE,FALSE
"87",NA,"Kent State*",TRUE,FALSE
"88",NA,"Pittsburgh",TRUE,FALSE
"89",NA,"North Carolina",FALSE,FALSE
"90",NA,"Miami (FL)",TRUE,FALSE
"91",NA,"No. 9 Notre Dame*",FALSE,FALSE
"92",NA,"William & Mary*",TRUE,FALSE
"93",NA,"Boise State*",FALSE,FALSE
"94",NA,"Syracuse",TRUE,FALSE
"95",NA,"Georgia Tech",TRUE,FALSE
"96",NA,"Duke",TRUE,FALSE
"97",NA,"No. 4 (FCS) Richmond*",FALSE,FALSE
"98",NA,"Central Michigan*",TRUE,FALSE
"99",NA,"Pittsburgh",FALSE,FALSE
"100",NA,"No. 22 North Carolina",FALSE,FALSE
"101",NA,"No. 5 Louisville",FALSE,FALSE
"102",NA,"Miami (FL)",FALSE,FALSE
"103",NA,"William & Mary*",TRUE,FALSE
"104",NA,"Indiana*",FALSE,FALSE
"105",NA,"UConn*",TRUE,FALSE
"106",NA,"Duke",TRUE,FALSE
"107",NA,"Boston College",FALSE,FALSE
"108",NA,"Georgia Tech",TRUE,FALSE
"109",NA,"Richmond*",TRUE,FALSE
"110",NA,"Louisville",TRUE,FALSE
"111",NA,"No. 16 Miami (FL)",TRUE,FALSE
"112",NA,"North Carolina",TRUE,FALSE
"113",NA,"Pittsburgh",FALSE,FALSE
"114",NA,"Liberty*",TRUE,FALSE
"115",NA,"BYU",FALSE,TRUE
