"","Date","Opponent","Won","Away","IsBasketball"
"1",2019-11-06,"Syracuse",TRUE,TRUE,TRUE
"2",2019-11-10,"James Madison",TRUE,FALSE,TRUE
"3",2019-11-16,"Columbia",TRUE,FALSE,TRUE
"4",2019-11-19,"Vermont",TRUE,FALSE,TRUE
"5",2019-11-23,"UMass",TRUE,FALSE,TRUE
"6",2019-11-24,"Arizona State",TRUE,FALSE,TRUE
"7",2019-11-27,"Maine",TRUE,FALSE,TRUE
"8",2019-12-04,"Purdue",FALSE,TRUE,TRUE
"9",2019-12-08,"UNC",TRUE,FALSE,TRUE
"10",2019-12-18,"Stony Brook",TRUE,FALSE,TRUE
"11",2019-12-22,"South Carolina",FALSE,FALSE,TRUE
"12",2019-12-29,"Navy",TRUE,FALSE,TRUE
"13",2020-01-04,"Virginia Tech",TRUE,FALSE,TRUE
"14",2020-01-07,"Boston College",FALSE,TRUE,TRUE
"15",2020-01-11,"Syracuse",FALSE,FALSE,TRUE
"16",2020-01-15,"Florida State",FALSE,TRUE,TRUE
"17",2020-01-18,"Georgia Tech",TRUE,TRUE,TRUE
"18",2020-01-20,"NC State",FALSE,FALSE,TRUE
"19",2020-01-26,"Wake Forest",TRUE,TRUE,TRUE
"20",2020-01-28,"Florida State",TRUE,FALSE,TRUE
"21",2020-02-05,"Clemson",TRUE,FALSE,TRUE
"22",2020-02-08,"Louisville",FALSE,TRUE,TRUE
"23",2020-02-11,"Notre Dame",TRUE,FALSE,TRUE
"24",2020-02-15,"UNC",TRUE,TRUE,TRUE
"25",2020-02-19,"Boston College",TRUE,FALSE,TRUE
"26",2020-02-22,"Pitt",TRUE,TRUE,TRUE
"27",2020-02-26,"Virginia Tech",TRUE,TRUE,TRUE
"28",2020-02-29,"Duke",TRUE,FALSE,TRUE
"29",2020-03-04,"Miami (FL)",TRUE,TRUE,TRUE
"30",2020-03-07,"Louisville",TRUE,FALSE,TRUE
"31",2000-09-02,"BYU*",FALSE,FALSE,FALSE
"32",2000-09-09,"Richmond*",TRUE,FALSE,FALSE
"33",2000-09-23,"No. 11 Clemson",FALSE,FALSE,FALSE
"34",2000-10-07,"Maryland",TRUE,FALSE,FALSE
"35",2000-10-28,"North Carolina",TRUE,FALSE,FALSE
"36",2001-09-01,"Richmond*",TRUE,FALSE,FALSE
"37",2001-09-29,"Duke",TRUE,FALSE,FALSE
"38",2001-10-20,"No. 21 Florida State",FALSE,FALSE,FALSE
"39",2001-11-03,"Wake Forest",FALSE,FALSE,FALSE
"40",2001-11-10,"No. 20 Georgia Tech",TRUE,FALSE,FALSE
"41",2001-12-01,"Penn State*",TRUE,FALSE,FALSE
"42",2002-08-22,"Colorado State*",FALSE,FALSE,FALSE
"43",2002-09-07,"No. 22 South Carolina*",TRUE,FALSE,FALSE
"44",2002-09-21,"Akron*",TRUE,FALSE,FALSE
"45",2002-10-12,"Clemson",TRUE,FALSE,FALSE
"46",2002-10-19,"North Carolina",TRUE,FALSE,FALSE
"47",2002-11-16,"No. 22 NC State",TRUE,FALSE,FALSE
"48",2002-11-23,"No. 18 Maryland",TRUE,FALSE,FALSE
"49",2003-08-30,"Duke",TRUE,FALSE,FALSE
"50",2003-09-27,"Wake Forest",TRUE,FALSE,FALSE
"51",2003-10-18,"No. 8 Florida State",FALSE,FALSE,FALSE
"52",2003-10-25,"Troy State*",TRUE,FALSE,FALSE
"53",2003-11-22,"Georgia Tech",TRUE,FALSE,FALSE
"54",2004-09-11,"North Carolina",TRUE,FALSE,FALSE
"55",2004-09-18,"Akron*",TRUE,FALSE,FALSE
"56",2004-09-25,"Syracuse*",TRUE,FALSE,FALSE
"57",2004-10-07,"Clemson",TRUE,FALSE,FALSE
"58",2004-11-06,"Maryland",TRUE,FALSE,FALSE
"59",2004-11-13,"No. 18 Miami",FALSE,FALSE,FALSE
"60",2005-09-03,"Western Michigan*",TRUE,FALSE,FALSE
"61",2005-09-24,"Duke",TRUE,FALSE,FALSE
"62",2005-10-15,"No. 5 Florida State",TRUE,FALSE,FALSE
"63",2005-11-05,"Temple*",TRUE,FALSE,FALSE
"64",2005-11-12,"No. 24 Georgia Tech",TRUE,FALSE,FALSE
"65",2006-09-09,"Wyoming*",TRUE,FALSE,FALSE
"66",2006-09-16,"Western Michigan*",FALSE,FALSE,FALSE
"67",2006-10-14,"Maryland",FALSE,FALSE,FALSE
"68",2006-10-19,"North Carolina",TRUE,FALSE,FALSE
"69",2006-10-28,"NC State",TRUE,FALSE,FALSE
"70",2006-11-18,"Miami",TRUE,FALSE,FALSE
"71",2007-09-08,"Duke",TRUE,FALSE,FALSE
"72",2007-09-22,"Georgia Tech",TRUE,FALSE,FALSE
"73",2007-09-29,"Pittsburgh*",TRUE,FALSE,FALSE
"74",2007-10-13,"Connecticut*",TRUE,FALSE,FALSE
"75",2007-11-03,"No. 21 Wake Forest",TRUE,FALSE,FALSE
"76",2008-08-30,"No. 2 USC*",FALSE,FALSE,FALSE
"77",2008-09-06,"Richmond*",TRUE,FALSE,FALSE
"78",2008-10-04,"Maryland",TRUE,FALSE,FALSE
"79",2008-10-11,"East Carolina*",TRUE,FALSE,FALSE
"80",2008-10-18,"No. 18 North Carolina",TRUE,FALSE,FALSE
"81",2008-11-01,"Miami",FALSE,FALSE,FALSE
"82",2008-11-22,"Clemson",FALSE,FALSE,FALSE
"83",2009-09-05,"No. 14 (FCS) William & Mary*",FALSE,FALSE,FALSE
"84",2009-09-12,"No. 16 TCU*",FALSE,FALSE,FALSE
"85",2009-10-10,"Indiana*",TRUE,FALSE,FALSE
"86",2009-10-24,"No. 13 Georgia Tech",FALSE,FALSE,FALSE
"87",2009-10-31,"Duke",FALSE,FALSE,FALSE
"88",2009-11-14,"Boston College",FALSE,FALSE,FALSE
"89",2010-09-04,"Richmond*",TRUE,FALSE,FALSE
"90",2010-09-25,"VMI*",TRUE,FALSE,FALSE
"91",2010-10-16,"North Carolina",FALSE,FALSE,FALSE
"92",2010-10-23,"Eastern Michigan*",TRUE,FALSE,FALSE
"93",2010-10-30,"No. 22 Miami (FL)",TRUE,FALSE,FALSE
"94",2010-11-13,"Maryland",FALSE,FALSE,FALSE
"95",2011-09-03,"No. 3 (FCS) William & Mary*",TRUE,FALSE,FALSE
"96",2011-09-24,"Southern Miss*",FALSE,FALSE,FALSE
"97",2011-10-01,"Idaho*",TRUE,FALSE,FALSE
"98",2011-10-15,"No. 12 Georgia Tech",TRUE,FALSE,FALSE
"99",2011-10-22,"NC State",FALSE,FALSE,FALSE
"100",2011-11-12,"Duke",TRUE,FALSE,FALSE
"101",2012-09-01,"Richmond*",TRUE,FALSE,FALSE
"102",2012-09-08,"Penn State*",TRUE,FALSE,FALSE
"103",2012-09-29,"Louisiana Tech*",FALSE,FALSE,FALSE
"104",2012-10-13,"Maryland",FALSE,FALSE,FALSE
"105",2012-10-20,"Wake Forest",FALSE,FALSE,FALSE
"106",2012-11-10,"Miami",TRUE,FALSE,FALSE
"107",2013-08-31,"BYU*",TRUE,FALSE,FALSE
"108",2013-09-07,"No. 2 Oregon*",FALSE,FALSE,FALSE
"109",2013-09-21,"VMI*",TRUE,FALSE,FALSE
"110",2013-10-05,"Ball State*",FALSE,FALSE,FALSE
"111",2013-10-19,"Duke",FALSE,FALSE,FALSE
"112",2013-10-26,"Georgia Tech",FALSE,FALSE,FALSE
"113",2013-11-02,"No. 9 Clemson",FALSE,FALSE,FALSE
"114",2014-08-30,"No. 7 UCLA*",FALSE,FALSE,FALSE
"115",2014-09-06,"No. 17 (FCS) Richmond*",TRUE,FALSE,FALSE
"116",2014-09-13,"No. 21 Louisville",TRUE,FALSE,FALSE
"117",2014-09-27,"Kent State*",TRUE,FALSE,FALSE
"118",2014-10-04,"Pittsburgh",TRUE,FALSE,FALSE
"119",2014-10-25,"North Carolina",FALSE,FALSE,FALSE
"120",2014-11-22,"Miami (FL)",TRUE,FALSE,FALSE
"121",2015-09-12,"No. 9 Notre Dame*",FALSE,FALSE,FALSE
"122",2015-09-19,"William & Mary*",TRUE,FALSE,FALSE
"123",2015-09-25,"Boise State*",FALSE,FALSE,FALSE
"124",2015-10-17,"Syracuse",TRUE,FALSE,FALSE
"125",2015-10-31,"Georgia Tech",TRUE,FALSE,FALSE
"126",2015-11-21,"Duke",TRUE,FALSE,FALSE
"127",2016-09-03,"No. 4 (FCS) Richmond*",FALSE,FALSE,FALSE
"128",2016-09-24,"Central Michigan*",TRUE,FALSE,FALSE
"129",2016-10-15,"Pittsburgh",FALSE,FALSE,FALSE
"130",2016-10-22,"No. 22 North Carolina",FALSE,FALSE,FALSE
"131",2016-10-29,"No. 5 Louisville",FALSE,FALSE,FALSE
"132",2016-11-12,"Miami (FL)",FALSE,FALSE,FALSE
"133",2017-09-02,"William & Mary*",TRUE,FALSE,FALSE
"134",2017-09-09,"Indiana*",FALSE,FALSE,FALSE
"135",2017-09-16,"UConn*",TRUE,FALSE,FALSE
"136",2017-10-07,"Duke",TRUE,FALSE,FALSE
"137",2017-10-21,"Boston College",FALSE,FALSE,FALSE
"138",2017-11-04,"Georgia Tech",TRUE,FALSE,FALSE
"139",2018-09-01,"Richmond*",TRUE,FALSE,FALSE
"140",2018-09-22,"Louisville",TRUE,FALSE,FALSE
"141",2018-10-13,"No. 16 Miami (FL)",TRUE,FALSE,FALSE
"142",2018-10-27,"North Carolina",TRUE,FALSE,FALSE
"143",2018-11-02,"Pittsburgh",FALSE,FALSE,FALSE
"144",2018-11-10,"Liberty*",TRUE,FALSE,FALSE
"145",2014-09-20,"BYU",FALSE,TRUE,FALSE
"146",2001-09-22,"Clemson",TRUE,TRUE,FALSE
"147",2009-11-21,"Clemson",FALSE,TRUE,FALSE
"148",2000-11-09,"Georgia Tech",FALSE,TRUE,FALSE
"149",2002-10-26,"Georgia Tech",FALSE,TRUE,FALSE
"150",2006-09-21,"Georgia Tech",FALSE,TRUE,FALSE
"151",2008-10-25,"Georgia Tech",TRUE,TRUE,FALSE
"152",2010-10-09,"Georgia Tech",FALSE,TRUE,FALSE
"153",2012-09-15,"Georgia Tech",FALSE,TRUE,FALSE
