Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"100 E MAIN ST, Charlottesville, VA",38.030363,-78.481565,1,rooftop,100,"E Main St",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"500 E MARKET ST, Charlottesville, VA",38.030358,-78.478079,1,rooftop,500,"E Market St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"500 LEXINGTON AVE, Charlottesville, VA",38.033038,-78.472368,1,rooftop,500,"Lexington Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"NA WERTLAND ST, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,"Charlottesville city",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"100 5TH ST SE, Charlottesville, VA",38.029691,-78.478432,1,rooftop,100,"5th St SE",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"700 ORANGEDALE AVE, Charlottesville, VA",38.024675,-78.495376,1,rooftop,700,"Orangedale Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"4000 CITY WALK WAY, Charlottesville, VA",38.026588,-78.48045,0.33,place,,,,,Charlottesville,VA,"Charlottesville city",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1100 PRESTON AVE, Charlottesville, VA",38.042033,-78.491926,1,rooftop,1100,"Preston Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"200 14TH ST NW, Charlottesville, VA",38.034794,-78.498909,1,rooftop,200,"14th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"200 3RD ST NE, Charlottesville, VA",38.030911,-78.479647,1,range_interpolation,200,"3rd St NE",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1200 SHERWOOD RD, Charlottesville, VA",38.046001,-78.479912,1,rooftop,1200,"Sherwood Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"500 HARRIS RD, Charlottesville, VA",38.014946,-78.503703,1,range_interpolation,500,"Harris Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"700 ELSOM ST, Charlottesville, VA",38.032135,-78.490094,1,range_interpolation,700,"Elsom St",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"100 WATER ST, Charlottesville, VA",38.029591,-78.481582,0.9,rooftop,100,"E Water St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1100 WARE ST, Charlottesville, VA",38.022893,-78.48463,1,range_interpolation,1100,"Ware St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1000 DRUID AVE, Charlottesville, VA",38.017304,-78.477677,1,rooftop,1000,"Druid Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"2100 MICHIE DR, Charlottesville, VA",38.065057,-78.48225,1,rooftop,2100,"Michie Dr",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1500 ROSA TER, Charlottesville, VA",38.019814,-78.486029,1,range_interpolation,1500,"Rosa Ter",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1800 MONTICELLO RD, Charlottesville, VA",38.015537,-78.472869,1,rooftop,1800,"Monticello Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"900 1ST ST S, Charlottesville, VA",38.022908,-78.485672,1,rooftop,900,"1st St S",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"300 7 1/2 ST SW, Charlottesville, VA",38.029801,-78.491318,1,range_interpolation,300,"7 1/2 St SW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
