Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"900 RIVER RD, Charlottesville, VA",38.035852,-78.457354,1,rooftop,900,"River Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"600 250 BYPASS, Charlottesville, VA",38.039765,-78.47183,0.81,nearest_rooftop_match,606,"250th Byp",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"1900 LEWIS MOUNTAIN RD, Charlottesville, VA",38.037634,-78.507499,1,range_interpolation,1900,"Lewis Mountain Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"NA NASSAU ST / FRANKLIN ST, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,"Charlottesville city",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"900 BELMONT AVE, Charlottesville, VA",38.023363,-78.475421,1,rooftop,900,"Belmont Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"100 W MAIN ST, Charlottesville, VA",38.030482,-78.481848,1,rooftop,100,"W Main St",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"300 13TH ST NE, Charlottesville, VA",38.028078,-78.467115,1,rooftop,300,"13th St NE",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1100 5TH ST SW, Charlottesville, VA",38.014495,-78.50005,1,range_interpolation,1100,"5th St SW",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1200 ST GEORGE AVE, Charlottesville, VA",38.039221,-78.461086,0.81,nearest_rooftop_match,1204,"St George Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"Virginia Geographic Information Network (VGIN)"
"100 MADISON LN, Charlottesville, VA",38.036242,-78.502401,1,range_interpolation,100,"Madison Ln",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"400 GARRETT ST, Charlottesville, VA",38.027754,-78.481638,1,rooftop,400,"Garrett St",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"600 12TH ST NW, Charlottesville, VA",38.039278,-78.494309,1,range_interpolation,600,"12th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
