"","Longitude","Latitude","event_date","sport","Opponent","home","win","crime_type"
"144","-78.49996","38.033951","2020-03-07","Basketball","Louisville","FALSE","TRUE","Larceny - Shoplifitng"
"145","-78.49996","38.033951","2020-03-07","Basketball","Louisville","FALSE","TRUE","Larceny - Shoplifitng"
"146","-78.492224","38.060855","2020-03-07","Basketball","Louisville","FALSE","TRUE","Larceny - Shoplifitng"
"147","-78.49996","38.033951","2020-03-07","Basketball","Louisville","FALSE","TRUE","Larceny - Shoplifitng"
"148","-78.480746","38.030391","2020-03-07","Basketball","Louisville","FALSE","TRUE","Disorderly Conduct"
"149","-78.490241","38.033559","2020-03-07","Basketball","Louisville","FALSE","TRUE","Vandalism"
"150","-78.462371","38.026538","2020-03-07","Basketball","Louisville","FALSE","TRUE","Animal Complaint"
"151","-78.48225","38.065057","2020-03-07","Basketball","Louisville","FALSE","TRUE","Domestic Disturbance"
"152","-78.486204","38.019593","2020-03-07","Basketball","Louisville","FALSE","TRUE","Hit and Run"
"153","-78.467982","38.020478","2020-03-07","Basketball","Louisville","FALSE","TRUE","Assault Simple"
"154","-78.506549","38.023622","2020-03-07","Basketball","Louisville","FALSE","TRUE","Vandalism"
"155","-78.5002","38.051498","2020-03-07","Basketball","Louisville","FALSE","TRUE","Larceny - Shoplifitng"
"156","-78.479272","38.029803","2020-03-07","Basketball","Louisville","FALSE","TRUE","Disorderly Conduct"
"157","-78.494102","38.005309","2020-03-07","Basketball","Louisville","FALSE","TRUE","Vandalism"
"158","-78.467584","38.038928","2020-03-07","Basketball","Louisville","FALSE","TRUE","Assault Simple"
"192","-78.494399","38.024646","2020-03-04","Basketball","Miami (FL)","TRUE","TRUE","Burglary"
"193","-78.490241","38.033559","2020-03-04","Basketball","Miami (FL)","TRUE","TRUE","Disorderly Conduct"
"194","-78.469217","38.022084","2020-03-04","Basketball","Miami (FL)","TRUE","TRUE","Disorderly Conduct"
"195","-78.490192","38.030174","2020-03-04","Basketball","Miami (FL)","TRUE","TRUE","Disorderly Conduct"
"196","-78.456341","38.021466","2020-03-04","Basketball","Miami (FL)","TRUE","TRUE","Hit and Run"
