G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/11/2016,@,UNC Greensboro,W,76,51,26,50,0.52,8,16,0.5,16,18,0.889,11,35,13,8,1,11,17,,17,46,0.37,7,21,0.333,10,13,0.769,7,21,7,6,1,11,15
2,11/15/2016,,St. Francis (NY),W,72,32,31,52,0.596,0,10,0,10,16,0.625,6,37,18,4,5,10,15,,11,48,0.229,5,26,0.192,5,7,0.714,0,16,4,4,1,13,17
3,11/20/2016,,Yale,W,62,38,24,60,0.4,6,20,0.3,8,9,0.889,12,33,17,6,7,7,10,,16,47,0.34,4,14,0.286,2,4,0.5,6,25,7,5,2,13,13
4,11/22/2016,,Grambling,W,90,34,33,60,0.55,14,34,0.412,10,14,0.714,8,40,23,11,6,11,15,,12,52,0.231,4,17,0.235,6,12,0.5,8,28,3,7,1,21,15
5,11/25/2016,N,Iowa,W,74,41,29,60,0.483,8,17,0.471,8,13,0.615,9,33,18,9,5,5,13,,15,48,0.313,6,23,0.261,5,10,0.5,11,30,8,3,2,18,17
6,11/26/2016,N,Providence,W,63,52,25,42,0.595,5,10,0.5,8,16,0.5,2,24,15,8,6,7,18,,15,40,0.375,8,16,0.5,14,17,0.824,5,18,12,3,2,10,19
7,11/30/2016,,Ohio State,W,63,61,21,56,0.375,7,16,0.438,14,20,0.7,11,26,9,9,6,10,11,,22,44,0.5,6,17,0.353,11,13,0.846,5,29,14,4,3,19,20
8,12/3/2016,,West Virginia,L,57,66,22,48,0.458,6,19,0.316,7,13,0.538,7,26,13,4,3,14,17,,23,51,0.451,4,15,0.267,16,19,0.842,7,24,13,10,1,8,16
9,12/6/2016,,East Carolina,W,76,53,30,53,0.566,9,21,0.429,7,10,0.7,6,27,22,6,5,6,14,,18,49,0.367,10,23,0.435,7,11,0.636,10,25,12,3,2,13,12
10,12/17/2016,,Robert Morris,W,79,39,31,52,0.596,6,14,0.429,11,14,0.786,7,37,21,7,7,11,19,,11,46,0.239,4,15,0.267,13,23,0.565,5,20,7,7,1,13,16
11,12/21/2016,@,California,W,56,52,22,57,0.386,4,13,0.308,8,11,0.727,6,29,14,1,3,7,17,,18,51,0.353,5,23,0.217,11,16,0.688,7,33,11,3,3,12,14
12,12/28/2016,@,Louisville,W,61,53,24,49,0.49,2,8,0.25,11,14,0.786,8,31,12,7,0,13,19,,19,44,0.432,2,14,0.143,13,22,0.591,8,26,7,5,2,14,15
13,12/31/2016,,Florida State,L,58,60,23,51,0.451,9,16,0.563,3,5,0.6,5,28,8,3,6,13,18,,20,49,0.408,8,15,0.533,12,24,0.5,10,32,8,6,3,11,15
14,1/4/2017,@,Pitt,L (1 OT),76,88,33,67,0.493,8,20,0.4,2,5,0.4,6,24,15,2,3,6,21,,29,54,0.537,13,21,0.619,17,28,0.607,9,38,16,0,3,14,16
15,1/8/2017,,Wake Forest,W,79,62,26,53,0.491,9,19,0.474,18,24,0.75,9,32,12,4,8,9,18,,23,57,0.404,6,21,0.286,10,16,0.625,7,24,12,5,3,11,22
16,1/14/2017,@,Clemson,W,77,73,29,50,0.58,10,18,0.556,9,13,0.692,6,29,9,2,2,16,17,,28,56,0.5,7,19,0.368,10,16,0.625,8,23,13,9,3,11,13
17,1/18/2017,@,Boston College,W,71,54,27,52,0.519,5,10,0.5,12,20,0.6,2,26,22,12,3,5,12,,20,52,0.385,5,20,0.25,9,11,0.818,8,34,9,4,4,16,14
18,1/21/2017,,Georgia Tech,W,62,49,22,48,0.458,5,22,0.227,13,17,0.765,6,28,13,6,3,11,14,,19,42,0.452,4,9,0.444,7,12,0.583,2,23,11,9,1,13,15
19,1/24/2017,@,Notre Dame,W,71,54,25,54,0.463,9,19,0.474,12,14,0.857,8,35,13,7,1,11,17,,20,48,0.417,3,18,0.167,11,17,0.647,1,17,9,6,6,10,10
20,1/29/2017,@,Villanova,L,59,61,25,50,0.5,6,18,0.333,3,3,1,6,19,13,6,2,9,18,,17,40,0.425,7,16,0.438,20,24,0.833,5,23,9,5,2,10,8
21,2/1/2017,,Virginia Tech,W,71,48,25,54,0.463,5,16,0.313,16,21,0.762,11,35,15,5,4,9,19,,15,42,0.357,3,20,0.15,15,20,0.75,3,21,5,2,2,14,19
22,2/4/2017,@,Syracuse,L,62,66,24,50,0.48,12,24,0.5,2,5,0.4,6,21,21,6,4,15,15,,23,42,0.548,7,18,0.389,13,20,0.65,2,18,12,11,5,11,9
23,2/6/2017,,Louisville,W,71,55,25,47,0.532,3,12,0.25,18,20,0.9,9,35,13,2,8,14,14,,20,54,0.37,5,18,0.278,10,15,0.667,4,16,7,9,2,5,15
24,2/12/2017,@,Virginia Tech,L (2 OT),78,80,28,66,0.424,8,23,0.348,14,24,0.583,8,35,13,6,6,10,20,,26,59,0.441,8,26,0.308,20,26,0.769,6,38,13,1,5,17,20
25,2/15/2017,,Duke,L,55,65,21,57,0.368,5,20,0.25,8,8,1,10,30,9,3,3,8,21,,19,42,0.452,9,19,0.474,18,20,0.9,5,28,8,4,2,10,12
26,2/18/2017,@,UNC,L,41,65,15,54,0.278,2,20,0.1,9,12,0.75,3,23,8,2,5,6,14,,27,58,0.466,7,19,0.368,4,7,0.571,7,40,17,4,5,9,13
27,2/20/2017,,Miami (FL),L (1 OT),48,54,16,51,0.314,3,12,0.25,13,20,0.65,9,27,7,8,2,9,18,,15,41,0.366,4,19,0.211,20,22,0.909,6,32,9,4,3,15,18
28,2/25/2017,@,NC State,W,70,55,23,47,0.489,11,16,0.688,13,22,0.591,5,30,14,8,4,10,16,,18,56,0.321,7,27,0.259,12,16,0.75,10,30,10,5,5,14,18
29,2/27/2017,,UNC,W,53,43,19,59,0.322,10,24,0.417,5,8,0.625,10,28,15,6,8,4,12,,17,48,0.354,4,16,0.25,5,7,0.714,6,32,12,1,3,14,12
30,3/4/2017,,Pitt,W,67,42,27,62,0.435,11,22,0.5,2,2,1,7,30,13,8,2,7,11,,15,45,0.333,4,20,0.2,8,8,1,5,26,6,5,4,14,7
31,3/8/2017,N,Pitt,W,75,63,24,49,0.49,11,22,0.5,16,19,0.842,5,27,16,2,1,7,19,,18,45,0.4,10,29,0.345,17,23,0.739,5,25,8,2,3,10,16
32,3/9/2017,N,Notre Dame,L,58,71,22,57,0.386,7,19,0.368,7,12,0.583,10,29,12,3,1,9,21,,24,46,0.522,5,17,0.294,18,25,0.72,7,31,9,6,3,7,9
33,3/16/2017,N,UNC Wilmington,W,76,71,26,52,0.5,7,17,0.412,17,25,0.68,4,26,9,5,5,8,19,,25,61,0.41,10,26,0.385,11,17,0.647,13,39,15,4,2,9,20
34,3/18/2017,N,Florida,L,39,65,16,54,0.296,1,15,0.067,6,7,0.857,8,28,8,4,3,11,17,,23,50,0.46,8,21,0.381,11,18,0.611,5,32,10,6,1,9,10
