Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Offensive eFG%,Offensive TOV%,Offensive ORB%,Offensive FT/FGA,Defensive eFG%,Defensive TOV%,Defensive DRB%,Defensive FT/FGA
11/6/2019,@,Syracuse,W,48,34,80,56.7,59.6,0.122,0.51,0.463,64.7,70,6.7,15.4,0.449,22.4,32.1,0.082,0.282,12.1,87.5,0.055
11/10/2019,,James Madison,W,65,34,92.9,48.6,70.3,0.206,0.368,0.435,57.3,42.3,11.4,27.3,0.412,11.8,31,0.132,0.302,25.4,85,0.038
11/16/2019,,Columbia,W,60,42,95.2,66.7,62.8,0.237,0.237,0.457,53.6,41.7,12.7,25.7,0.449,12.1,33.3,0.119,0.339,18.1,72.2,0.071
11/19/2019,,Vermont,W,61,55,103.4,93.2,58.8,0.224,0.469,0.562,50.8,47.8,6.8,16.7,0.551,14.2,18.5,0.143,0.5,19.6,78.1,0.058
11/23/2019,N,UMass,W,58,46,95.1,75.4,61.4,0.269,0.269,0.494,60.9,40.9,11.5,4.2,0.442,14.6,30,0.231,0.35,16.4,88.2,0.22
11/24/2019,N,Arizona State,W,48,45,82.8,77.6,57.5,0.143,0.327,0.459,56.3,33.3,6.9,21.7,0.418,19.9,28,0.143,0.464,21.8,87,0.143
11/27/2019,,Maine,W,46,26,82.1,46.4,55.9,0.159,0.409,0.486,50,41.2,16.1,17.6,0.455,18.9,11.1,0.136,0.244,28.4,73.3,0.116
12/4/2019,@,Purdue,L,40,69,70.2,121.1,57.3,0.186,0.558,0.427,45.5,50,5.3,14.3,0.419,24.3,16,0.093,0.575,10.7,70,0.151
12/8/2019,,UNC,W,56,47,88.9,74.6,62.7,0.51,0.347,0.46,49.2,56.3,12.7,9.4,0.388,16.5,27.3,0.367,0.38,17.5,75,0.261
12/18/2019,,Stony Brook,W,56,44,98.2,77.2,57.3,0.231,0.308,0.485,47.3,52.4,7,16.7,0.452,14.8,27.6,0.173,0.433,22.3,69.2,0.111
12/22/2019,,South Carolina,L,59,70,93.7,111.1,62.6,0.537,0.439,0.573,52.1,72.2,9.5,12.5,0.512,27,29.2,0.415,0.612,17.7,75,0.204
