Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2500 JEFFERSON PARK AVE, Charlottesville, VA",38.020243,-78.514161,1,rooftop,2500,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"2400 FONTAINE AVE, Charlottesville, VA",38.025784,-78.518964,1,rooftop,2400,"Fontaine Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"400 RIDGE MCINTIRE RD, Charlottesville, VA",38.03264,-78.484434,1,range_interpolation,400,"Ridge Mcintire Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"300 E MAIN ST, Charlottesville, VA",38.029931,-78.48003,1,rooftop,300,"E Main St",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"100 CARLTON RD, Charlottesville, VA",38.026723,-78.468572,1,rooftop,100,"Carlton Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"100 CHANCELLOR ST, Charlottesville, VA",38.035846,-78.50148,1,range_interpolation,100,"Chancellor St",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1200 LONG ST, Charlottesville, VA",38.036838,-78.46429,1,rooftop,1200,"Long St",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"500 W MAIN ST, Charlottesville, VA",38.030788,-78.487892,1,rooftop,500,"W Main St",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"800 ELLIOTT AVE, Charlottesville, VA",38.020269,-78.47982,1,rooftop,800,"Elliott Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"200 4TH ST NW, Charlottesville, VA",38.031303,-78.486222,1,range_interpolation,200,"4th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"800 RIDGE ST, Charlottesville, VA",38.022211,-78.491258,1,rooftop,800,"Ridge St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1100 SEMINOLE TRL, Charlottesville, VA",38.066776,-78.49006,0.76,nearest_rooftop_match,1070,"Seminole Trl",,,Charlottesville,VA,"Albemarle County",22901,US,"Virginia Geographic Information Network (VGIN)"
"1400 SUNRISE PARK LN, Charlottesville, VA",38.020972,-78.467448,0.81,nearest_rooftop_match,1404,"Sunrise Park Ln",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"200 RIDGE MCINTIRE RD, Charlottesville, VA",38.031294,-78.484883,1,range_interpolation,200,"Ridge Mcintire Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"300 15TH ST NW, Charlottesville, VA",38.036158,-78.499392,1,range_interpolation,300,"15th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"300 1ST ST NW, Charlottesville, VA",38.032139,-78.480822,0.8,range_interpolation,300,"1st St N",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"300 14TH ST NW, Charlottesville, VA",38.035916,-78.498522,1,range_interpolation,300,"14th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"300 14TH ST NW, Charlottesville, VA",38.035916,-78.498522,1,range_interpolation,300,"14th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"300 14TH ST NW, Charlottesville, VA",38.035916,-78.498522,1,range_interpolation,300,"14th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"300 14TH ST NW, Charlottesville, VA",38.035916,-78.498522,1,range_interpolation,300,"14th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1600 E MARKET ST, Charlottesville, VA",38.023804,-78.462147,1,rooftop,1600,"E Market St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"300 14TH ST NW, Charlottesville, VA",38.035916,-78.498522,1,range_interpolation,300,"14th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"700 ORANGEDALE AVE, Charlottesville, VA",38.024675,-78.495376,1,rooftop,700,"Orangedale Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1200 CEDARS CT, Charlottesville, VA",38.055196,-78.5015,1,range_interpolation,1200,"Cedars Ct",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
