OBJECTID,L_LADD,L_HADD,R_LADD,R_HADD,PREDIR,STREET,SUFFIX,POSDIR,STREETNAME,ST_CLASS,ONE_WAY,SPEED
1,117,123,116,124, ,CLEVELAND,AVE, ,CLEVELAND AVE,MA, ,25
2,2300,2300,0,0, ,HILL,ST, ,HILL ST,LC, ,25
3,0,0,1973,1999, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,PA,FT,35
5,0,0,1947,1971, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,PA,FT,35
6,0,0,1901,1945, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,PA,FT,35
7,101,119,100,118, ,CHELSEA,DR, ,CHELSEA DR,LC, ,25
8,0,0,2400,2400, ,STADIUM,RD, ,STADIUM RD,LC, ,25
9,2300,2316,2301,2317, ,FONTAINE,AVE, ,FONTAINE AVE,PA, ,25
10,2200,2212,2201,2211, ,FONTAINE,AVE, ,FONTAINE AVE,PA, ,25
11,2318,2324,2319,2323, ,FONTAINE,AVE, ,FONTAINE AVE,PA, ,25
12,2400,2404,2401,2403, ,FONTAINE,AVE, ,FONTAINE AVE,PA, ,25
14,0,0,1132,1140, ,EMMET,ST,N,EMMET ST N,PA,FT,40
15,0,0,0,0, ,EMMET,ST,N,EMMET ST N,PA,FT,35
16,0,0,1400,1420, ,EMMET,ST,N,EMMET ST N,PA,FT,40
17,405,425,404,424, ,EMMET,ST,S,EMMET ST S,PA, ,25
18,477,499,476,498, ,EMMET,ST,S,EMMET ST S,PA, ,25
19,427,449,426,448, ,EMMET,ST,S,EMMET ST S,PA, ,25
20,451,475,450,474, ,EMMET,ST,S,EMMET ST S,PA, ,25
21,0,0,0,0, ,KEARNEY,LN, ,KEARNEY LN,N/A, ,25
22,2302,2312,0,0, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,MA,TF,30
23,2300,2300,0,0, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,MA,TF,30
24,501,515,500,510, ,HARRIS,RD, ,HARRIS RD,CO, ,25
25,100,106,101,107, ,ERIC,PL, ,ERIC PL,LC, ,25
26,1600,1614,1601,1615, ,DUBLIN,RD, ,DUBLIN RD,LC, ,25
27,0,0,0,0, ,VILLAGE,RD, ,VILLAGE RD,LC, ,25
28,1512,1524,1511,1525, ,TRAILRIDGE,RD, ,TRAILRIDGE RD,LC, ,25
29,250,252,249,255, ,SHAMROCK,RD, ,SHAMROCK RD,CO, ,25
30,1206,1226,1201,1225, ,CHERRY,AVE, ,CHERRY AVE,MA, ,35
31,1924,1942,0,0, ,IVY,RD, ,IVY RD,PA, ,35
32,0,0,0,0, ,IVY,RD, ,IVY RD,PA, ,35
33,1101,1115,1100,1110, ,MILLMONT,ST, ,MILLMONT ST,CO, ,35
34,50,66,0,0, ,UNIVERSITY,WAY, ,UNIVERSITY WAY,LC,TF,25
35,100,106,101,105, ,GRIMES,PL, ,GRIMES PL,LC, ,25
36,900,920,901,921, ,WOODFOLK,DR, ,WOODFOLK DR,LC, ,25
38,2500,2518,2501,2519, ,PLATEAU,RD, ,PLATEAU RD,LC, ,25
39,126,148,125,149, ,SUMMIT,ST, ,SUMMIT ST,LC, ,25
40,112,124,109,123, ,SUMMIT,ST, ,SUMMIT ST,LC, ,25
41,100,104,101,103, ,MORRIS PAUL,CT, ,MORRIS PAUL CT,LC, ,25
42,500,520,501,519, ,MOSELEY,DR, ,MOSELEY DR,LC, ,25
43,100,108,101,109, ,KEENE,CT, ,KEENE CT,N/A, ,25
44,100,130,101,131,W,MARKET,ST, ,W MARKET ST,PA, ,25
45,2418,2466,2401,2409, ,ARLINGTON,BLVD, ,ARLINGTON BLVD,CO, ,25
46,101,117,100,114, ,DAVID,TER, ,DAVID TER,LC, ,25
47,200,220,201,221, ,7TH,ST,NW,7TH ST NW,LC, ,25
48,201,213,200,212, ,6TH,ST,NW,6TH ST NW,LC, ,25
49,201,217,200,218, ,5TH,ST,NW,5TH ST NW,LC, ,25
50,0,0,501,515, ,BROWN,ST, ,BROWN ST,LC, ,25
51,0,0,517,521, ,BROWN,ST, ,BROWN ST,LC, ,25
52,0,0,0,0, ,RIDGECREST,DR, ,RIDGECREST DR,N/A, ,25
53,0,0,0,0, ,RIDGECREST,DR, ,RIDGECREST DR,N/A, ,25
54,100,134,101,139, ,STRIBLING,AVE, ,STRIBLING AVE,LC, ,25
55,100,108,101,107, ,SUNSET,AVE, ,SUNSET AVE,LC, ,25
56,500,520,501,519, ,RIDGE,ST, ,RIDGE ST,MA, ,25
57,701,703,636,636, ,WATSON,AVE, ,WATSON AVE,LC, ,25
58,0,0,0,0, ,RAMP, , ,RAMP,LC, ,25
59,901,911,900,910, ,MARSHALL,ST, ,MARSHALL ST,LC, ,25
60,707,719,700,700, ,WATSON,AVE, ,WATSON AVE,LC, ,25
61,1201,1205,1200,1206, ,MOWBRAY,PL, ,MOWBRAY PL,LC, ,25
62,833,847,836,844, ,ST CLAIR,AVE, ,ST CLAIR AVE,LC, ,25
63,0,0,0,0, ,250,BYP, ,250 BYPASS,PA,FT,35
64,2722,2732,2721,2731, ,MCELROY,DR, ,MCELROY DR,LC, ,25
65,2702,2720,2701,2721, ,MCELROY,DR, ,MCELROY DR,LC, ,25
66,228,246,215,229, ,OLD LYNCHBURG,RD, ,OLD LYNCHBURG RD,CO, ,25
67,100,114,101,117, ,AZALEA,DR, ,AZALEA DR,LC, ,25
68,2704,2716,2705,2717, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,CO, ,25
69,101,113,100,116, ,PARK,LN,W,PARK LN W,LC, ,25
