"","X","Longitude","Latitude","event_date","sport","Opponent","home","win","crime_type","Crime Category"
"1",144,-78.49996,38.033951,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Larceny - Shoplifitng","Theft"
"2",145,-78.49996,38.033951,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Larceny - Shoplifitng","Theft"
"3",146,-78.492224,38.060855,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Larceny - Shoplifitng","Theft"
"4",147,-78.49996,38.033951,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Larceny - Shoplifitng","Theft"
"5",148,-78.480746,38.030391,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Disorderly Conduct","Disorderly Conduct"
"6",149,-78.490241,38.033559,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Vandalism","Disorderly Conduct"
"7",150,-78.462371,38.026538,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Animal Complaint","Animal-related"
"8",151,-78.48225,38.065057,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Domestic Disturbance","Disorderly Conduct"
"9",152,-78.486204,38.019593,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Hit and Run","Vehicle Accident"
"10",153,-78.467982,38.020478,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Assault Simple","Threat and/or Assault"
"11",154,-78.506549,38.023622,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Vandalism","Disorderly Conduct"
"12",155,-78.5002,38.051498,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Larceny - Shoplifitng","Theft"
"13",156,-78.479272,38.029803,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Disorderly Conduct","Disorderly Conduct"
"14",157,-78.494102,38.005309,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Vandalism","Disorderly Conduct"
"15",158,-78.467584,38.038928,"2020-03-07","Basketball","Louisville",FALSE,TRUE,"Assault Simple","Threat and/or Assault"
"16",192,-78.494399,38.024646,"2020-03-04","Basketball","Miami (FL)",TRUE,TRUE,"Burglary","Theft"
"17",193,-78.490241,38.033559,"2020-03-04","Basketball","Miami (FL)",TRUE,TRUE,"Disorderly Conduct","Disorderly Conduct"
"18",194,-78.469217,38.022084,"2020-03-04","Basketball","Miami (FL)",TRUE,TRUE,"Disorderly Conduct","Disorderly Conduct"
"19",195,-78.490192,38.030174,"2020-03-04","Basketball","Miami (FL)",TRUE,TRUE,"Disorderly Conduct","Disorderly Conduct"
"20",196,-78.456341,38.021466,"2020-03-04","Basketball","Miami (FL)",TRUE,TRUE,"Hit and Run","Vehicle Accident"
"21",197,-78.485528,38.029765,"2020-03-04","Basketball","Miami (FL)",TRUE,TRUE,"Missing Person-adult","Non-criminal report"
"22",198,-78.493732,38.057817,"2020-03-04","Basketball","Miami (FL)",TRUE,TRUE,"Fraud-credit card","Fraud"
"23",199,-78.484068,38.03575,"2020-03-04","Basketball","Miami (FL)",TRUE,TRUE,"Narcotics","Substance Abuse"
"24",200,-78.488855,38.058532,"2020-03-04","Basketball","Miami (FL)",TRUE,TRUE,"Vandalism","Disorderly Conduct"
"25",238,-78.461439,38.02353,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Larceny - All Other","Theft"
"26",239,-78.466487,38.043043,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Lost/FoundProperty","Non-criminal report"
"27",240,-78.494688,38.030035,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Larceny - All Other","Theft"
"28",241,-78.500296,38.034988,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Lost/FoundProperty","Non-criminal report"
"29",242,-78.5002,38.051498,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Lost/FoundProperty","Non-criminal report"
"30",243,-78.479272,38.029803,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Lost/FoundProperty","Non-criminal report"
"31",244,-78.503011,38.048623,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Lost/FoundProperty","Non-criminal report"
"32",245,-78.485453,38.033577,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Disorderly Conduct","Disorderly Conduct"
"33",246,-78.48045,38.026588,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Driving Under the Influence","Substance Abuse"
"34",247,-78.482987,38.031221,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Larceny - Pocket Picking","Theft"
"35",248,-78.480746,38.030391,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Drunkeness DIP","Substance Abuse"
"36",249,-78.481893,38.031758,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Hit and Run","Vehicle Accident"
"37",250,-78.487098,38.021191,"2020-02-29","Basketball","Duke",FALSE,TRUE,"Assault Simple","Threat and/or Assault"
"38",269,-78.486978,38.037068,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Assist Citizen - Mental/TDO/ECO","Non-criminal report"
"39",270,-78.488496,38.030966,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Vandalism","Disorderly Conduct"
"40",271,-78.48045,38.026588,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Accident w/Injuries","Vehicle Accident"
"41",272,-78.487892,38.030788,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Larceny - Shoplifitng","Theft"
"42",273,-78.50148,38.035846,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Larceny - Theft from Building","Theft"
"43",274,-78.481507,38.030923,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Animal Complaint","Animal-related"
"44",275,-78.485701,38.038754,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Disorderly Conduct","Disorderly Conduct"
"45",276,-78.48045,38.026588,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Hit and Run","Vehicle Accident"
