Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"600 W MAIN ST, Charlottesville, VA",38.030966,-78.488496,1,rooftop,600,"W Main St",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"100 HARTMANS MILL RD, Charlottesville, VA",38.018343,-78.488704,1,rooftop,100,"Hartman's Mill Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"300 5TH ST SW, Charlottesville, VA",38.029104,-78.488911,1,range_interpolation,300,"5th St SW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"100 W MAIN ST, Charlottesville, VA",38.030482,-78.481848,1,rooftop,100,"W Main St",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"1900 JEFFERSON PARK AVE, Charlottesville, VA",38.027381,-78.511218,1,rooftop,1900,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1900 JEFFERSON PARK AVE, Charlottesville, VA",38.027381,-78.511218,1,rooftop,1900,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1900 JEFFERSON PARK AVE, Charlottesville, VA",38.027381,-78.511218,1,rooftop,1900,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1900 JEFFERSON PARK AVE, Charlottesville, VA",38.027381,-78.511218,1,rooftop,1900,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"2100 JEFFERSON PARK AVE, Charlottesville, VA",38.02611,-78.513611,1,rooftop,2100,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"2100 JEFFERSON PARK AVE, Charlottesville, VA",38.02611,-78.513611,1,rooftop,2100,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"2100 JEFFERSON PARK AVE, Charlottesville, VA",38.02611,-78.513611,1,rooftop,2100,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"100 STADIUM RD, Charlottesville, VA",38.032061,-78.509002,1,rooftop,100,"Stadium Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"100 STADIUM RD, Charlottesville, VA",38.032061,-78.509002,1,rooftop,100,"Stadium Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1400 EMMET ST N, Charlottesville, VA",38.055785,-78.496363,1,range_interpolation,1400,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1900 EMMET ST N, Charlottesville, VA",38.060855,-78.492224,1,range_interpolation,1900,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 HAMPTON ST, Charlottesville, VA",38.019047,-78.469152,1,range_interpolation,1400,"Hampton St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 WESTWOOD RD, Charlottesville, VA",38.044993,-78.479702,1,range_interpolation,1400,"Westwood Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"300 RIVERSIDE AVE, Charlottesville, VA",38.02387,-78.455313,1,rooftop,300,"Riverside Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1400 BURGESS LN, Charlottesville, VA",38.023265,-78.465232,1,range_interpolation,1400,"Burgess Ln",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"200 W WATER ST, Charlottesville, VA",38.030184,-78.482828,1,rooftop,200,"W Water St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1000 CHERRY AVE, Charlottesville, VA",38.026722,-78.497519,1,rooftop,1000,"Cherry Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
