Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"100 W WATER ST, Charlottesville, VA",38.030191,-78.481861,1,range_interpolation,100,"Water St W",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"500 PARK ST, Charlottesville, VA",38.03394,-78.475337,1,rooftop,500,"Park St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"100 W WATER ST, Charlottesville, VA",38.030191,-78.481861,1,range_interpolation,100,"Water St W",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"100 W WATER ST, Charlottesville, VA",38.030191,-78.481861,1,range_interpolation,100,"Water St W",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 HAMPTON ST, Charlottesville, VA",38.019047,-78.469152,1,range_interpolation,1400,"Hampton St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 HAZEL ST, Charlottesville, VA",38.033533,-78.4651,1,rooftop,1400,"Hazel St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1700 JEFFERSON PARK AVE, Charlottesville, VA",38.030234,-78.508221,1,rooftop,1700,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1200 LEE ST, Charlottesville, VA",38.031726,-78.498276,1,range_interpolation,1200,"Lee St",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"300 10 1/2 ST NW, Charlottesville, VA",38.035412,-78.494329,1,range_interpolation,300,"10 1/2 St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"100 EMMET ST S, Charlottesville, VA",38.039962,-78.506659,1,range_interpolation,100,"Emmet St S",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"500 ROCKLAND AVE, Charlottesville, VA",38.019593,-78.486204,1,range_interpolation,500,"Rockland Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1000 SAMUEL MILLER LOOP, Charlottesville, VA",38.005943,-78.701247,1,rooftop,1000,"Samuel Miller Loop",,,Charlottesville,VA,"Albemarle County",22903,US,Albemarle
"100 12 1/2 ST NW, Charlottesville, VA",38.033051,-78.497541,1,range_interpolation,100,"12 1/2 St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"600 E MAIN ST, Charlottesville, VA",38.030966,-78.488496,0.8,rooftop,600,"W Main St",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"1100 MONTICELLO RD, Charlottesville, VA",38.022839,-78.473248,1,range_interpolation,1100,"Monticello Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"400 MCINTIRE RD, Charlottesville, VA",38.035419,-78.481793,1,range_interpolation,400,"McIntire Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,"Market St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"800 PRESTON AVE, Charlottesville, VA",38.036342,-78.488528,1,rooftop,800,"Preston Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1100 5TH ST SW, Charlottesville, VA",38.014495,-78.50005,1,range_interpolation,1100,"5th St SW",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 UNIVERSITY AVE, Charlottesville, VA",38.033951,-78.49996,1,rooftop,1400,"University Ave",,,Charlottesville,VA,"Albemarle County",22903,US,Albemarle
"1400 E HIGH ST, Charlottesville, VA",38.03229,-78.463473,1,range_interpolation,1400,"High St E",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
