,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
"800 CHERRY AVE, Charlottesville, VA",38.028316,-78.4927,1,range_interpolation,800,Cherry Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"800 HARDY DR, Charlottesville, VA",38.033559,-78.490241,1,range_interpolation,800,Hardy Dr,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"700 CHERRY AVE, Charlottesville, VA",38.027807,-78.491575,1,range_interpolation,700,Cherry Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1100 JOHN ST, Charlottesville, VA",38.035942,-78.496167,1,range_interpolation,1100,John St,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"100 MCCORMICK RD, Charlottesville, VA",38.036219,-78.50484,1,range_interpolation,100,McCormick Rd,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"100 14TH ST NW, Charlottesville, VA",38.034122,-78.499326,1,rooftop,100,14th St NW,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"600 PRESTON AVE, Charlottesville, VA",38.034938,-78.486011,1,rooftop,600,Preston Ave,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"200 MARKET ST, Charlottesville, VA",38.031908,-78.481893,1,range_interpolation,200,Market St,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"800 CABELL AVE, Charlottesville, VA",38.042215,-78.496417,1,range_interpolation,800,Cabell Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1800 MONTICELLO RD, Charlottesville, VA",38.015537,-78.472869,1,rooftop,1800,Monticello Rd,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"1000 WERTLAND ST, Charlottesville, VA",38.033911,-78.494229,1,rooftop,1000,Wertland St,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"700 ORANGEDALE AVE, Charlottesville, VA",38.024675,-78.495376,1,rooftop,700,Orangedale Ave,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"NA MCINTIRE RD / PRESTON AVE, Charlottesville, VA",38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"1300 WERTLAND ST, Charlottesville, VA",38.034284,-78.498138,1,rooftop,1300,Wertland St,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"500 2ND ST SE, Charlottesville, VA",38.03427,-78.478722,0.8,rooftop,500,2nd St NE,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"800 AVON ST, Charlottesville, VA",38.023355,-78.479555,1,rooftop,800,Avon St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"1100 EMMET ST N, Charlottesville, VA",38.051498,-78.5002,1,range_interpolation,1100,Emmet St N,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"700 ORANGEDALE AVE, Charlottesville, VA",38.024675,-78.495376,1,rooftop,700,Orangedale Ave,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"100 CARROLLTON TER, Charlottesville, VA",38.02804,-78.510307,1,rooftop,100,Carrollton Ter,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"200 W MARKET ST, Charlottesville, VA",38.031667,-78.482066,1,rooftop,200,W Market St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"200 5TH ST SW, Charlottesville, VA",38.030475,-78.488002,1,range_interpolation,200,5th St SW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1400 UNIVERSITY AVE, Charlottesville, VA",38.033951,-78.49996,1,rooftop,1400,University Ave,,,Charlottesville,VA,Albemarle County,22903,US,Albemarle
"NA 5TH ST SE / E WATER ST, Charlottesville, VA",38.029824,-78.478468,0.72,intersection,,5th St NE,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"900 RIVES ST, Charlottesville, VA",38.017745,-78.46969,1,rooftop,900,Rives St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"900 BLENHEIM AVE, Charlottesville, VA",38.021124,-78.477039,1,rooftop,900,Blenheim Ave,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"100 MAURY AVE, Charlottesville, VA",38.025813,-78.515097,1,range_interpolation,100,Maury Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"200 ELLIOTT AVE, Charlottesville, VA",38.026588,-78.48045,0.33,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
"700 6TH ST SE, Charlottesville, VA",38.025291,-78.480685,1,range_interpolation,700,6th St SE,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"900 ROUGEMONT AVE, Charlottesville, VA",38.014934,-78.481598,1,rooftop,900,Rougemont Ave,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"200 GARRETT ST, Charlottesville, VA",38.028249,-78.482711,1,rooftop,200,Garrett St,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"600 E MARKET ST, Charlottesville, VA",38.030267,-78.477549,1,range_interpolation,600,Market St E,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"900 EMMET ST N, Charlottesville, VA",38.048623,-78.503011,1,rooftop,900,Emmet St N,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"2100 MICHIE DR, Charlottesville, VA",38.065057,-78.48225,1,rooftop,2100,Michie Dr,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"300 14TH ST NW, Charlottesville, VA",38.035916,-78.498522,1,range_interpolation,300,14th St NW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"700 PROSPECT AVE, Charlottesville, VA",38.024646,-78.494399,1,rooftop,700,Prospect Ave,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"200 STRIBLING AVE, Charlottesville, VA",38.022335,-78.518987,1,rooftop,200,Stribling Ave,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"800 CHERRY AVE, Charlottesville, VA",38.028394,-78.4925,1,range_interpolation,800,Cherry Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1600 6TH ST SE, Charlottesville, VA",38.016682,-78.485939,1,rooftop,1600,6th St SE,,,Charlottesville,VA,Albemarle County,22901,US,City of Charlottesville
"100 CHANCELLOR ST, Charlottesville, VA",38.035846,-78.50148,1,range_interpolation,100,Chancellor St,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1200 EMMET ST, Charlottesville, VA",38.052819,-78.498406,0.9,rooftop,1200,Emmet St N,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"800 CABELL AVE, Charlottesville, VA",38.042215,-78.496417,1,range_interpolation,800,Cabell Ave,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1400 MELBOURNE RD, Charlottesville, VA",38.052489,-78.475702,1,rooftop,1400,Melbourne Rd,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"1000 WERTLAND ST, Charlottesville, VA",38.033911,-78.494229,1,rooftop,1000,Wertland St,,,Charlottesville,VA,Albemarle County,22903,US,City of Charlottesville
"800 ALTAVISTA AVE, Charlottesville, VA",38.019507,-78.480355,1,rooftop,800,Altavista Ave,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"700 PROSPECT AVE, Charlottesville, VA",38.024646,-78.494399,1,rooftop,700,Prospect Ave,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"1100 EMMET ST, Charlottesville, VA",38.051498,-78.5002,0.9,range_interpolation,1100,Emmet St N,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"1400 MONTICELLO RD, Charlottesville, VA",38.019358,-78.472299,1,rooftop,1400,Monticello Rd,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"700 RIALTO ST, Charlottesville, VA",38.023754,-78.477541,1,range_interpolation,700,Rialto St,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"400 17TH ST NW, Charlottesville, VA",38.038978,-78.500652,1,range_interpolation,400,17th St NW,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"500 6TH ST SE, Charlottesville, VA",38.026763,-78.47957,1,range_interpolation,500,6th St SE,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1400 MELBOURNE RD, Charlottesville, VA",38.052489,-78.475702,1,rooftop,1400,Melbourne Rd,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"200 E MAIN ST, Charlottesville, VA",38.030391,-78.480746,1,range_interpolation,200,E Main St,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"900 DRUID AVE, Charlottesville, VA",38.01801,-78.47932,1,rooftop,900,Druid Ave,,,Charlottesville,VA,Albemarle County,22902,US,City of Charlottesville
"500 ROCKLAND AVE, Charlottesville, VA",38.019593,-78.486204,1,range_interpolation,500,Rockland Ave,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"1100 5TH ST SW, Charlottesville, VA",38.014495,-78.50005,1,range_interpolation,1100,5th St SW,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"500 CAROLINE AVE, Charlottesville, VA",38.029594,-78.463905,1,range_interpolation,500,Caroline Ave,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
"500 HARRIS RD, Charlottesville, VA",38.014946,-78.503703,1,range_interpolation,500,Harris Rd,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"200 SHAMROCK RD, Charlottesville, VA",38.026783,-78.510448,1,range_interpolation,200,Shamrock Rd,,,Charlottesville,VA,Albemarle County,22903,US,TIGER/Line® dataset from the US Census Bureau
"700 PROSPECT AVE, Charlottesville, VA",38.024646,-78.494399,1,rooftop,700,Prospect Ave,,,Charlottesville,VA,Albemarle County,22903,US,Virginia Geographic Information Network (VGIN)
"400 MCINTIRE RD, Charlottesville, VA",38.035419,-78.481793,1,range_interpolation,400,McIntire Rd,,,Charlottesville,VA,Albemarle County,22902,US,TIGER/Line® dataset from the US Census Bureau
