observation_date,VACHAR0POP
1970-01-01,38.880
1971-01-01,39.700
1972-01-01,41.700
1973-01-01,43.400
1974-01-01,44.400
1975-01-01,45.100
1976-01-01,45.000
1977-01-01,45.000
1978-01-01,44.700
1979-01-01,44.800
1980-01-01,39.916
1981-01-01,40.076
1982-01-01,40.273
1983-01-01,40.407
1984-01-01,40.363
1985-01-01,40.263
1986-01-01,39.784
1987-01-01,40.107
1988-01-01,40.173
1989-01-01,40.482
1990-01-01,40.831
1991-01-01,41.267
1992-01-01,42.051
1993-01-01,42.731
1994-01-01,43.327
1995-01-01,41.892
1996-01-01,42.508
1997-01-01,43.589
1998-01-01,43.463
1999-01-01,44.280
2000-01-01,41.302
2001-01-01,41.588
2002-01-01,41.715
2003-01-01,41.033
2004-01-01,40.745
2005-01-01,40.836
2006-01-01,41.054
2007-01-01,41.273
2008-01-01,41.590
2009-01-01,42.206
2010-01-01,43.461
2011-01-01,43.761
2012-01-01,44.580
2013-01-01,45.012
2014-01-01,45.518
2015-01-01,46.301
2016-01-01,46.943
2017-01-01,47.463
2018-01-01,47.506
2019-01-01,47.266
