G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/13/2015,,Morgan State,W,86,48,32,65,0.492,5,18,0.278,17,26,0.654,22,49,16,4,3,8,17,,17,50,0.34,7,27,0.259,7,11,0.636,5,19,10,7,1,11,20
2,11/16/2015,@,George Washington,L,68,73,25,62,0.403,5,20,0.25,13,16,0.813,9,29,11,6,2,8,24,,23,51,0.451,4,15,0.267,23,28,0.821,7,34,9,3,2,11,18
3,11/19/2015,N,Bradley,W,82,57,30,53,0.566,6,15,0.4,16,17,0.941,7,33,19,6,2,9,20,,18,46,0.391,6,15,0.4,15,24,0.625,5,18,7,2,1,12,15
4,11/20/2015,N,Long Beach State,W,87,52,34,61,0.557,13,25,0.52,6,8,0.75,8,35,23,4,3,7,18,,15,48,0.313,7,21,0.333,15,20,0.75,6,23,9,4,2,9,15
5,11/22/2015,N,George Mason,W,83,66,32,56,0.571,6,9,0.667,13,17,0.765,6,29,17,4,4,6,19,,23,52,0.442,6,17,0.353,14,22,0.636,9,26,11,3,7,9,18
6,11/25/2015,,Lehigh,W,80,54,34,65,0.523,6,19,0.316,6,10,0.6,13,31,18,9,6,6,9,,20,50,0.4,8,23,0.348,6,8,0.75,9,27,10,3,2,17,19
7,12/1/2015,@,Ohio State,W,64,58,23,52,0.442,8,16,0.5,10,13,0.769,8,28,11,2,1,7,13,,21,42,0.5,8,21,0.381,8,12,0.667,3,23,10,3,7,12,13
8,12/5/2015,,William & Mary,W,67,52,26,59,0.441,2,12,0.167,13,17,0.765,8,32,10,15,5,5,12,,19,46,0.413,6,18,0.333,8,13,0.615,3,28,8,4,2,19,16
9,12/8/2015,N,West Virginia,W,70,54,27,43,0.628,3,8,0.375,13,20,0.65,6,26,13,6,1,18,22,,20,50,0.4,2,14,0.143,12,21,0.571,13,24,10,10,1,18,24
10,12/19/2015,,Villanova,W,86,75,26,46,0.565,8,12,0.667,26,30,0.867,10,28,12,4,2,12,19,,26,53,0.491,10,26,0.385,13,17,0.765,10,19,17,6,1,10,24
